
 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

+----------+-----------------+-----------+----------+----------+----------+-----------+-------------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (us) | Instances | Avg (us) | Med (us) | Min (us) | Max (us)  | StdDev (us) |  Category   |                                              Operation                                               |
|      1.3 |     1687739.483 |     18939 |   89.115 |   62.273 |   50.431 |   184.769 |      49.620 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::… |
|      1.2 |     1551278.863 |      2683 |  578.188 |  564.195 |  547.265 |   605.509 |      21.129 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_128x128_ldg8_f2f_stages_32x1_nt                                             |
|      1.1 |     1432259.262 |      2706 |  529.290 |  504.435 |  495.811 |   578.596 |      30.089 | CUDA_KERNEL | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator… |
|      1.0 |     1275648.860 |      1343 |  949.850 |  945.544 |  829.061 |  1126.660 |      49.310 | CUDA_KERNEL | void at::native::reduce_kernel<(int)256, (int)2, at::native::ReduceOp<float, at::native::func_wrapp… |
|      0.7 |      906862.117 |      2683 |  338.003 |  347.875 |  272.961 |   428.548 |      31.344 | CUDA_KERNEL | void at::native::<unnamed>::CatArrayBatchedCopy<c10::Half, unsigned int, (int)4, (int)64, (int)64>(… |
|      0.6 |      817321.276 |     38417 |   21.275 |    2.560 |    1.696 |   383.844 |      35.895 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::… |
|      0.6 |      730800.034 |     10736 |   68.070 |   66.064 |   40.128 |   102.465 |      23.744 | CUDA_KERNEL | void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_w… |
|      0.5 |      667681.399 |     10934 |   61.065 |   59.200 |   53.184 |   589.029 |       6.908 | CUDA_KERNEL | void cuApplyLayerNorm<c10::Half, float, c10::Half>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, cons… |
|      0.5 |      645060.103 |      8096 |   79.676 |   80.321 |   73.952 |    93.185 |       2.152 | CUDA_KERNEL | CudaCodeGen::kernel2(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)3>, CudaCodeGen::Tensor<CudaCode… |
|      0.4 |      571356.938 |      2683 |  212.954 |  206.785 |  200.064 |   225.858 |      10.562 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_256x128_ldg8_f2f_nt                                                         |
|      0.4 |      474680.567 |      2819 |  168.386 |    3.135 |    2.687 |  4140.512 |     809.561 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::… |
|      0.4 |      467986.827 |       113 | 4141.476 | 4128.434 | 4124.369 |  4161.025 |      15.650 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::… |
|      0.3 |      460234.701 |      5478 |   84.015 |   82.353 |   70.848 |    96.576 |       5.887 | CUDA_KERNEL | void cuComputePartGradGammaBeta<c10::Half, float, c10::Half, (bool)1>(const T3 *, const T1 *, int, … |
|      0.3 |      459536.320 |      5478 |   83.888 |   82.129 |   75.233 |    97.857 |       5.104 | CUDA_KERNEL | void cuComputeGradInput<c10::Half, float, c10::Half, (bool)1>(const T3 *, const T1 *, int, int, con… |
|      0.3 |      458132.998 |       113 | 4054.274 | 4089.649 | 4012.547 |  4097.491 |      38.814 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat… |
|      0.3 |      357977.535 |      8061 |   44.409 |   43.136 |    1.824 |  1289.829 |      29.435 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Ha… |
|      0.3 |      337866.077 |      1343 |  251.576 |  251.554 |  249.218 |   254.466 |       0.791 | CUDA_KERNEL | CudaCodeGen::kernel5(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)4>, CudaCodeGen::Tensor<CudaCode… |
|      0.3 |      337751.130 |      1342 |  251.677 |  251.602 |  249.763 |   254.145 |       0.762 | CUDA_KERNEL | CudaCodeGen::kernel6(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)3>, CudaCodeGen::Tensor<CudaCode… |
|      0.2 |      260752.868 |      2706 |   96.361 |   92.529 |   86.432 |   107.009 |       7.984 | CUDA_KERNEL | void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI… |
|      0.2 |      243497.860 |      4261 |   57.146 |    5.152 |    2.495 |  1909.574 |     303.966 | CUDA_KERNEL | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp… |
|      0.2 |      227542.565 |      2706 |   84.088 |   82.656 |   75.296 |   102.304 |       5.785 | CUDA_KERNEL | volta_sgemm_32x32_sliced1x4_tn                                                                       |
|      0.2 |      215867.947 |       113 | 1910.336 | 1910.247 | 1905.296 |  1919.050 |       2.317 | CUDA_KERNEL | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo… |
|      0.2 |      205215.703 |      5765 |   35.597 |   46.336 |    1.120 |   271.202 |      20.662 | MEMORY_OPER | [CUDA memcpy Device-to-Device]                                                                       |
|      0.1 |      189609.841 |      2726 |   69.556 |   69.504 |   66.784 |    72.993 |       1.134 | CUDA_KERNEL | CudaCodeGen::kernel3(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)3>, CudaCodeGen::Tensor<CudaCode… |
|      0.1 |      152348.245 |      2706 |   56.300 |   54.368 |   50.592 |    65.024 |       3.784 | CUDA_KERNEL | void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)128, (int)32, float, long, unsigned int>(… |
|      0.1 |      108325.498 |     11319 |    9.570 |    1.343 |    1.215 |  2311.563 |      82.784 | MEMORY_OPER | [CUDA memcpy Host-to-Device]                                                                         |
|      0.1 |       84025.346 |       117 |  718.165 |  320.257 |   12.993 |  1503.303 |     712.150 | CUDA_KERNEL | ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm *, unsigned long, ncclWork *)                     |
|      0.1 |       80216.168 |      1342 |   59.774 |   58.528 |   55.392 |    64.673 |       2.919 | CUDA_KERNEL | volta_sgemm_64x32_sliced1x4_nt                                                                       |
|      0.0 |       63171.304 |     40594 |    1.556 |    1.472 |    1.215 |    78.209 |       0.626 | MEMORY_OPER | [CUDA memset]                                                                                        |
|      0.0 |       62132.920 |      1342 |   46.299 |   46.193 |   43.873 |    49.408 |       1.410 | CUDA_KERNEL | volta_sgemm_128x32_nn                                                                                |
|      0.0 |       58816.850 |         8 | 7352.106 | 6660.073 |   17.056 | 16030.960 |    7791.294 | CUDA_KERNEL | ncclKernel_AllReduce_RING_LL_Sum_half(ncclDevComm *, unsigned long, ncclWork *)                      |
|      0.0 |       56946.002 |        80 |  711.825 |  823.365 |   37.600 |   872.325 |     273.591 | CUDA_KERNEL | void multi_tensor_apply_kernel<TensorListMetadata<(int)4>, AdamFunctor<float, float>, float, float,… |
|      0.0 |       40897.403 |      5412 |    7.557 |    7.552 |    4.863 |    10.753 |       1.861 | CUDA_KERNEL | void at::native::reduce_kernel<(int)256, (int)2, at::native::ReduceOp<float, at::native::MeanOps<fl… |
|      0.0 |       40560.926 |      8118 |    4.996 |    4.960 |    3.423 |     8.287 |       0.991 | CUDA_KERNEL | void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatte… |
|      0.0 |       28054.245 |      2706 |   10.367 |   10.016 |    9.215 |    11.936 |       0.908 | CUDA_KERNEL | void at::native::reduce_kernel<(int)256, (int)2, at::native::ReduceOp<long, at::native::func_wrappe… |
|      0.0 |       27953.334 |       228 |  122.602 |  121.409 |  101.632 |   144.929 |      13.364 | CUDA_KERNEL | void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i… |
|      0.0 |       24283.932 |      2706 |    8.974 |    8.768 |    8.159 |    10.656 |       0.605 | CUDA_KERNEL | void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::nat… |
|      0.0 |       22596.978 |      4515 |    5.005 |    1.952 |    1.152 |  2526.378 |      80.003 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa… |
|      0.0 |       22459.633 |      5478 |    4.100 |    4.096 |    3.679 |     4.833 |       0.311 | CUDA_KERNEL | void cuComputeGradGammaBeta<float, c10::Half>(const T1 *, const T1 *, int, int, int, T2 *, T2 *, bo… |
|      0.0 |       21611.854 |        24 |  900.494 |    4.865 |    2.816 |  3907.553 |    1475.060 | CUDA_KERNEL | void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)1, (int)… |
|      0.0 |       21070.727 |      4048 |    5.205 |    5.280 |    3.775 |     6.849 |       0.838 | CUDA_KERNEL | void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool… |
|      0.0 |       20851.089 |      2706 |    7.705 |    7.679 |    7.007 |     8.864 |       0.506 | CUDA_KERNEL | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<… |
|      0.0 |       20194.271 |      1792 |   11.269 |   11.231 |    9.216 |    22.080 |       2.585 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<… |
|      0.0 |       18426.549 |       224 |   82.261 |   76.064 |    7.263 |   170.178 |      75.056 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, at::deta… |
|      0.0 |       16102.923 |       224 |   71.888 |   69.776 |   47.040 |   104.769 |      21.035 | CUDA_KERNEL | void at::native::<unnamed>::compute_grad_weight<c10::Half, long>(const T2 *, const T1 *, const T2 *… |
|      0.0 |       16053.500 |      8211 |    1.955 |    1.792 |    1.471 |     3.712 |       0.402 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa… |
|      0.0 |       15081.735 |      2706 |    5.573 |    5.553 |    4.992 |     6.688 |       0.419 | CUDA_KERNEL | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe… |
|      0.0 |       13009.946 |      7180 |    1.812 |    1.728 |    1.183 |     4.928 |       0.298 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta… |
|      0.0 |       11906.699 |       224 |   53.155 |   49.008 |   34.401 |    83.425 |      16.420 | CUDA_KERNEL | void at::native::<unnamed>::sum_and_scatter<c10::Half, long>(const T2 *, T1 *, long, const T2 *, co… |
|      0.0 |       10810.008 |      2706 |    3.995 |    3.920 |    3.552 |     4.800 |       0.313 | CUDA_KERNEL | void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat… |
|      0.0 |       10594.649 |      5412 |    1.958 |    1.951 |    1.567 |     4.289 |       0.272 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<long, long, long, … |
|      0.0 |        8699.097 |        12 |  724.925 |  617.845 |  562.082 |  1020.552 |     190.779 | CUDA_KERNEL | void at::native::<unnamed>::CatArrayBatchedCopy<c10::Half, unsigned int, (int)1, (int)128, (int)1>(… |
|      0.0 |        7567.982 |      2706 |    2.797 |    2.848 |    2.527 |     3.616 |       0.239 | CUDA_KERNEL | void <unnamed>::softmax_warp_forward<float, float, float, (int)1, (bool)0, (bool)0>(T2 *, const T1 … |
|      0.0 |        7223.766 |      4281 |    1.687 |    1.600 |    1.407 |     3.520 |       0.263 | MEMORY_OPER | [CUDA memcpy Device-to-Host]                                                                         |
|      0.0 |        6779.055 |        16 |  423.691 |  243.538 |    7.008 |  1201.350 |     501.559 | CUDA_KERNEL | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps… |
|      0.0 |        6710.361 |      2819 |    2.380 |    2.145 |    1.791 |     5.664 |       0.663 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at:… |
|      0.0 |        4385.339 |      1343 |    3.265 |    3.264 |    2.784 |     4.065 |       0.266 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::… |
|      0.0 |        2927.408 |      1356 |    2.159 |    2.016 |    1.600 |     4.576 |       0.565 | CUDA_KERNEL | void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, at::detail::Array<… |
|      0.0 |        2686.240 |      1343 |    2.000 |    2.048 |    1.791 |     2.624 |       0.173 | CUDA_KERNEL | void <unnamed>::softmax_warp_backward<float, float, float, (int)1, (bool)0, (bool)0>(T2 *, const T1… |
|      0.0 |        2574.485 |       225 |   11.442 |   11.551 |    8.609 |    14.561 |       1.810 | CUDA_KERNEL | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void … |
|      0.0 |        1880.203 |       567 |    3.316 |    2.912 |    1.952 |     5.569 |       0.967 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::… |
|      0.0 |        1583.496 |       224 |    7.069 |    7.072 |    5.632 |     8.831 |       0.948 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy… |
|      0.0 |        1377.320 |         4 |  344.330 |  310.082 |   11.040 |   746.116 |     388.302 | CUDA_KERNEL | ncclKernel_AllGather_RING_LL_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                    |
|      0.0 |        1321.448 |         4 |  330.362 |  266.706 |   16.641 |   771.396 |     376.351 | CUDA_KERNEL | ncclKernel_AllReduce_RING_LL_Sum_uint8_t(ncclDevComm *, unsigned long, ncclWork *)                   |
|      0.0 |        1287.076 |       224 |    5.746 |    5.824 |    4.128 |     7.231 |       0.816 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::DeviceUniqueByKeyPolicy… |
|      0.0 |        1242.953 |       112 |   11.098 |   10.832 |    9.760 |    12.575 |       0.863 | CUDA_KERNEL | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void … |
|      0.0 |        1235.884 |       224 |    5.517 |    5.457 |    4.896 |     6.368 |       0.429 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceScanKernel<at_cuda_detail::cub::DeviceScanPolicy<long>::Policy600, … |
|      0.0 |        1089.411 |         4 |  272.353 |  139.008 |   15.776 |   795.618 |     367.448 | CUDA_KERNEL | ncclKernel_AllReduce_RING_LL_Sum_int32_t(ncclDevComm *, unsigned long, ncclWork *)                   |
|      0.0 |        1015.238 |       563 |    1.803 |    1.824 |    1.151 |     3.808 |       0.452 | CUDA_KERNEL | void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,… |
|      0.0 |         677.796 |       113 |    5.998 |    5.664 |    5.312 |     6.880 |       0.551 | CUDA_KERNEL | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl… |
|      0.0 |         604.480 |       226 |    2.675 |    2.640 |    1.664 |     4.225 |       0.616 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>… |
|      0.0 |         601.893 |       224 |    2.687 |    2.496 |    2.080 |     4.672 |       0.545 | CUDA_KERNEL | void at::native::<unnamed>::krn_partial_segment_offset<long>(T1 *, const T1 *, const T1 *, const T1… |
|      0.0 |         521.187 |       346 |    1.506 |    1.472 |    1.151 |     2.336 |       0.282 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa… |
|      0.0 |         509.675 |       113 |    4.510 |    4.543 |    3.936 |     5.216 |       0.341 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::… |
|      0.0 |         495.455 |       225 |    2.202 |    2.496 |    1.344 |     3.424 |       0.657 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa… |
|      0.0 |         454.560 |       224 |    2.029 |    1.984 |    1.568 |     4.640 |       0.387 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPol… |
|      0.0 |         447.563 |       224 |    1.998 |    1.984 |    1.664 |     4.224 |       0.241 | CUDA_KERNEL | void at::native::<unnamed>::krn_partials_per_segment<long>(T1 *, const T1 *, const long *, long)     |
|      0.0 |         386.119 |       224 |    1.724 |    1.696 |    1.344 |     3.808 |       0.331 | CUDA_KERNEL | void at::native::<unnamed>::compute_num_of_partial_segments<long>(const T1 *, const T1 *, const lon… |
|      0.0 |         360.066 |       224 |    1.607 |    1.600 |    1.311 |     2.432 |       0.234 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>,… |
|      0.0 |         358.376 |       231 |    1.551 |    1.568 |    1.248 |     5.952 |       0.326 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::… |
|      0.0 |         357.985 |       113 |    3.168 |    3.200 |    2.848 |     4.064 |       0.267 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIterat… |
|      0.0 |         333.091 |       224 |    1.487 |    1.408 |    1.056 |     2.240 |       0.174 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<long, (bool)1>>(T… |
|      0.0 |         294.337 |       113 |    2.605 |    2.400 |    2.080 |     4.800 |       0.480 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<c10::Half>… |
|      0.0 |         259.515 |       113 |    2.297 |    2.240 |    1.791 |     4.288 |       0.525 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at… |
|      0.0 |         230.945 |       113 |    2.044 |    1.888 |    1.600 |     5.056 |       0.540 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, … |
|      0.0 |         206.367 |       113 |    1.826 |    1.920 |    1.631 |     2.272 |       0.154 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at… |
|      0.0 |         198.473 |       112 |    1.772 |    1.697 |    1.568 |     2.240 |       0.182 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<float>, a… |
|      0.0 |         184.000 |       100 |    1.840 |    1.952 |    1.568 |     3.968 |       0.378 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::DispatchSelectIf<at_cuda_det… |
|      0.0 |         182.819 |       100 |    1.828 |    1.968 |    1.536 |     3.296 |       0.292 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<void at::nat… |
|      0.0 |         169.730 |       100 |    1.697 |    1.792 |    1.440 |     3.424 |       0.334 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int,… |
|      0.0 |         117.664 |       100 |    1.177 |    1.280 |    0.991 |     1.824 |       0.162 | CUDA_KERNEL | void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>,… |
|      0.0 |          12.865 |         8 |    1.608 |    1.648 |    1.312 |     1.984 |       0.226 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at… |
+----------+-----------------+-----------+----------+----------+----------+-----------+-------------+-------------+------------------------------------------------------------------------------------------------------+
