
 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances   Avg (us)    Med (us)   Min (us)    Max (us)   StdDev (us)   Category                                                 Operation                                              
      0.0        23730.669        956      24.823      24.831     24.576      25.056        0.078  CUDA_KERNEL  void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)32, (int)32, float, long, unsigned int>(a…
      0.0        21749.231      15904       1.367       1.408      0.991       2.465        0.212  MEMORY_OPER  [CUDA memset]                                                                                       
      0.0        17727.296        472      37.558      37.536     36.928      38.400        0.251  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)                        
      0.0        16156.630       1620       9.973       1.792      1.312    1179.899       88.728  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0        16150.796       3980       4.058       1.055      0.991     620.669       30.510  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
      0.0        15844.828       1912       8.287       8.207      7.264       9.408        0.739  CUDA_KERNEL  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0        13939.908       2868       4.861       4.608      4.416       6.432        0.496  CUDA_KERNEL  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatte…
      0.0        13366.656         48     278.472       3.776      2.848    1201.467      448.233  CUDA_KERNEL  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)1, (int)…
      0.0        12557.772        472      26.605      26.592     26.176      27.488        0.191  CUDA_KERNEL  ampere_sgemm_128x64_nn                                                                              
      0.0        10677.775        956      11.169      11.200     10.560      11.807        0.188  CUDA_KERNEL  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<long, at::native::func_wrappe…
      0.0        10088.017         24     420.334     350.623    340.798     569.982      107.299  CUDA_KERNEL  void at::native::<unnamed>::CatArrayBatchedCopy<c10::Half, unsigned int, (int)1, (int)128, (int)1>(…
      0.0         7124.446         80      89.056      88.383     85.312      93.152        1.772  CUDA_KERNEL  void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i…
      0.0         6906.751        956       7.225       7.200      7.008       7.488        0.100  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.0         6786.175       1928       3.520       3.488      3.297       3.904        0.073  CUDA_KERNEL  void cuComputeGradGammaBeta<float, c10::Half>(const T1 *, const T1 *, int, int, int, T2 *, T2 *, bo…
      0.0         6744.445       2896       2.329       2.464      1.376       3.552        0.566  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.0         6726.754         32     210.211     121.199      7.712     590.077      237.962  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps…
      0.0         6165.105        640       9.633       8.928      8.703      12.480        1.292  CUDA_KERNEL  void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<…
      0.0         5755.939       1912       3.010       3.008      2.911       3.136        0.046  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<long, long, long, …
      0.0         5486.638       3732       1.470       1.440      1.088       2.240        0.078  MEMORY_OPER  [CUDA memcpy Device-to-Host]                                                                        
      0.0         5026.985        956       5.258       5.248      5.152       5.504        0.052  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
      0.0         4843.188       2428       1.995       1.792      1.408       2.752        0.375  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
      0.0         4749.687        956       4.968       4.960      4.832       5.120        0.046  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::nat…
      0.0         4206.438        956       4.400       4.384      4.351       4.512        0.026  CUDA_KERNEL  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0         3830.220         80      47.878      46.416     29.728      68.160       17.962  CUDA_KERNEL  void at::native::<unnamed>::compute_grad_weight<c10::Half, long>(const T2 *, const T1 *, const T2 *…
      0.0         3289.233          8     411.154     387.790    341.503     548.285       67.721  CUDA_KERNEL  ncclKernel_AllReduce_TREE_LL_Sum_int32_t(ncclDevComm *, unsigned long, ncclWork *)                  
      0.0         3212.849         80      40.161      40.144      4.671      75.744       35.682  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, at::deta…
      0.0         3034.028        956       3.174       3.167      3.072       3.488        0.064  CUDA_KERNEL  void <unnamed>::softmax_warp_forward<float, float, float, (int)4, (bool)0, (bool)0>(T2 *, const T1 …
      0.0         2961.276        996       2.973       3.007      2.176       3.169        0.172  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at:…
      0.0         2772.878         80      34.661      32.607     21.793      51.327       11.916  CUDA_KERNEL  void at::native::<unnamed>::sum_and_scatter<c10::Half, long>(const T2 *, T1 *, long, const T2 *, co…
      0.0         2535.720        472       5.372       5.344      5.087       5.728        0.084  CUDA_KERNEL  void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool…
      0.0         2223.799          8     277.975     287.935    231.999     321.439       37.493  CUDA_KERNEL  ncclKernel_AllGather_RING_LL_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                   
      0.0         1594.640        472       3.379       3.392      3.263       3.488        0.060  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.0         1351.413        472       2.863       2.864      2.783       2.944        0.034  CUDA_KERNEL  void <unnamed>::softmax_warp_backward<float, float, float, (int)4, (bool)0, (bool)0>(T2 *, const T1…
      0.0         1030.330        480       2.147       2.112      1.888       3.168        0.231  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, at::detail::Array<…
      0.0          853.756         80      10.672      10.944      9.632      11.744        0.639  CUDA_KERNEL  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          694.837        200       3.474       3.232      2.784       4.448        0.541  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.0          422.592         80       5.282       5.280      5.087       5.568        0.122  CUDA_KERNEL  void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy…
      0.0          399.387        200       1.997       1.920      1.760       2.400        0.170  CUDA_KERNEL  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0          387.197        200       1.936       1.920      1.792       2.464        0.083  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<void at::nat…
      0.0          373.824        200       1.869       1.856      1.727       2.304        0.076  CUDA_KERNEL  void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::DispatchSelectIf<at_cuda_det…
      0.0          368.444        200       1.842       1.824      1.696       2.400        0.069  CUDA_KERNEL  void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int,…
      0.0          367.580         80       4.595       4.640      4.063       5.408        0.351  CUDA_KERNEL  void at_cuda_detail::cub::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::DeviceUniqueByKeyPolicy…
      0.0          302.373         80       3.780       3.760      3.360       4.385        0.296  CUDA_KERNEL  void at_cuda_detail::cub::DeviceScanKernel<at_cuda_detail::cub::DeviceScanPolicy<long>::Policy600, …
      0.0          293.471         40       7.337       7.328      7.200       7.424        0.053  CUDA_KERNEL  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          261.338        200       1.307       1.312      1.184       1.376        0.026  CUDA_KERNEL  void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>,…
      0.0          240.862         80       3.011       2.640      2.335       5.280        0.737  CUDA_KERNEL  void at::native::<unnamed>::krn_partial_segment_offset<long>(T1 *, const T1 *, const T1 *, const T1…
      0.0          207.813        136       1.528       1.473      1.344       1.888        0.122  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      0.0          199.328         80       2.492       2.480      2.080       3.200        0.384  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>…
      0.0          192.864         80       2.411       2.400      2.239       2.656        0.101  CUDA_KERNEL  void at::native::<unnamed>::krn_partials_per_segment<long>(T1 *, const T1 *, const long *, long)    
      0.0          184.127         80       2.302       2.304      2.144       2.369        0.057  CUDA_KERNEL  void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPol…
      0.0          162.623         40       4.066       4.064      3.871       4.384        0.105  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.0          141.346         80       1.767       1.792      1.568       1.856        0.077  CUDA_KERNEL  void at::native::<unnamed>::compute_num_of_partial_segments<long>(const T1 *, const T1 *, const lon…
      0.0          137.469         80       1.718       1.712      1.568       2.208        0.113  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.0          135.291         88       1.537       1.408      1.248       1.792        0.207  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
      0.0          129.347         80       1.617       1.568      1.247       2.080        0.286  CUDA_KERNEL  void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>,…
      0.0          128.032         40       3.201       3.168      2.944       3.552        0.156  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0          109.950         40       2.749       2.720      2.560       3.072        0.116  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIterat…
      0.0          106.626         80       1.333       1.344      1.248       1.408        0.045  CUDA_KERNEL  void at_cuda_detail::cub::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<long, (bool)1>>(T…
      0.0           85.185         40       2.130       2.112      1.951       2.400        0.113  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<c10::Half>…
      0.0           83.745         40       2.094       2.097      1.984       2.144        0.029  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
      0.0           83.423         40       2.086       2.080      2.048       2.113        0.019  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
      0.0           78.015         40       1.950       1.952      1.920       1.985        0.016  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      0.0           75.903         40       1.898       1.888      1.792       1.920        0.023  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<float>, a…
      0.0           27.551         16       1.722       1.744      1.568       1.856        0.081  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at…
